start_date,num_trips
2013-08-29,616
2013-08-30,545
2013-08-31,465
2013-09-01,510
2013-09-02,513
2013-09-03,480
2013-09-04,487
2013-09-05,578
2013-09-06,678
2013-09-07,615
2013-09-08,545
2013-09-09,653
2013-09-10,781
2013-09-11,777
2013-09-12,816
2013-09-13,843
2013-09-14,520
2013-09-15,491
2013-09-16,802
2013-09-17,966
2013-09-18,994
2013-09-19,921
2013-09-20,938
2013-09-21,294
2013-09-22,455
2013-09-23,921
2013-09-24,955
2013-09-25,1103
2013-09-26,953
2013-09-27,974
2013-09-28,501
2013-09-29,435
2013-09-30,868
2013-10-01,945
2013-10-02,935
2013-10-03,993
2013-10-04,943
2013-10-05,544
2013-10-06,447
2013-10-07,860
2013-10-08,892
2013-10-09,955
2013-10-10,966
2013-10-11,887
2013-10-12,561
2013-10-13,435
2013-10-14,910
2013-10-15,1035
2013-10-16,1046
2013-10-17,1088
2013-10-18,981
2013-10-19,511
2013-10-20,331
2013-10-21,893
2013-10-22,898
2013-10-23,896
2013-10-24,904
2013-10-25,932
2013-10-26,411
2013-10-27,227
2013-10-28,856
2013-10-29,902
2013-10-30,997
2013-10-31,1021
2013-11-01,1009
2013-11-02,465
2013-11-03,289
2013-11-04,1021
2013-11-05,1042
2013-11-06,974
2013-11-07,1051
2013-11-08,1040
2013-11-09,518
2013-11-10,389
2013-11-11,880
2013-11-12,1056
2013-11-13,904
2013-11-14,1001
2013-11-15,1009
2013-11-16,398
2013-11-17,333
2013-11-18,921
2013-11-19,671
2013-11-20,543
2013-11-21,989
2013-11-22,886
2013-11-23,409
2013-11-24,275
2013-11-25,915
2013-11-26,877
2013-11-27,621
2013-11-28,209
2013-11-29,301
2013-11-30,246
2013-12-01,270
2013-12-02,789
2013-12-03,833
2013-12-04,879
2013-12-05,835
2013-12-06,654
2013-12-07,251
2013-12-08,239
2013-12-09,712
2013-12-10,803
2013-12-11,804
2013-12-12,868
2013-12-13,867
2013-12-14,345
2013-12-15,267
2013-12-16,848
2013-12-17,891
2013-12-18,840
2013-12-19,856
2013-12-20,768
2013-12-21,295
2013-12-22,246
2013-12-23,563
2013-12-24,310
2013-12-25,264
2013-12-26,345
2013-12-27,387
2013-12-28,341
2013-12-29,240
2013-12-30,526
2013-12-31,442
2014-01-01,293
2014-01-02,678
2014-01-03,683
2014-01-04,294
2014-01-05,225
2014-01-06,833
2014-01-07,846
2014-01-08,875
2014-01-09,868
2014-01-10,874
2014-01-11,206
2014-01-12,268
2014-01-13,902
2014-01-14,916
2014-01-15,989
2014-01-16,970
2014-01-17,893
2014-01-18,354
2014-01-19,300
2014-01-20,512
2014-01-21,900
2014-01-22,952
2014-01-23,955
2014-01-24,901
2014-01-25,368
2014-01-26,327
2014-01-27,873
2014-01-28,924
2014-01-29,859
2014-01-30,863
2014-01-31,747
2014-02-01,291
2014-02-02,95
2014-02-03,858
2014-02-04,872
2014-02-05,775
2014-02-06,432
2014-02-07,405
2014-02-08,66
2014-02-09,57
2014-02-10,715
2014-02-11,845
2014-02-12,895
